RDP timeline around latest authentication event
Center event time: 2026-03-08 18:09:50
Window: 2026-03-08 18:06:50 to 2026-03-08 18:12:50

2026-03-08 18:11:12.328 | Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational | ID 148 | Information | Channel railenc has been closed between the server and the client on transport tunnel: 0.
2026-03-08 18:11:12.328 | Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational | ID 148 | Information | Channel Microsoft::Windows::RDS::Frame_Buffer::Control::v08.01 has been closed between the server and the client on transport tunnel: 0.
2026-03-08 18:11:12.328 | Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational | ID 148 | Information | Channel Microsoft::Windows::RDS::Graphics has been closed between the server and the client on transport tunnel: 0.
2026-03-08 18:11:12.328 | Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational | ID 148 | Information | Channel Microsoft::Windows::RDS::MouseCursor has been closed between the server and the client on transport tunnel: 0.
2026-03-08 18:11:12.328 | Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational | ID 148 | Information | Channel ECHO has been closed between the server and the client on transport tunnel: 0.
2026-03-08 18:11:12.328 | Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational | ID 148 | Information | Channel rdpdr has been closed between the server and the client on transport tunnel: 0.
2026-03-08 18:11:12.328 | Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational | ID 148 | Information | Channel rdpsnd has been closed between the server and the client on transport tunnel: 0.
2026-03-08 18:11:12.328 | Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational | ID 148 | Information | Channel cliprdr has been closed between the server and the client on transport tunnel: 0.
2026-03-08 18:11:12.400 | Microsoft-Windows-TerminalServices-LocalSessionManager/Operational | ID 36 | Error | An error occurred when transitioning from CsrConnected in response to EvCsrInitialized. (ErrorCode 0x800708CA)
2026-03-08 18:11:12.426 | Microsoft-Windows-TerminalServices-LocalSessionManager/Operational | ID 40 | Information | Session 3 has been disconnected, reason code 12
2026-03-08 18:11:16.033 | Microsoft-Windows-TerminalServices-LocalSessionManager/Operational | ID 41 | Information | Begin session arbitration: User: DESKTOP-DS9NSON\theod Session ID: 2
2026-03-08 18:11:16.035 | Microsoft-Windows-TerminalServices-LocalSessionManager/Operational | ID 40 | Information | Session 2 has been disconnected, reason code 0
2026-03-08 18:11:16.099 | Microsoft-Windows-TerminalServices-LocalSessionManager/Operational | ID 40 | Information | Session 1 has been disconnected, reason code 5
2026-03-08 18:11:16.329 | Microsoft-Windows-TerminalServices-LocalSessionManager/Operational | ID 25 | Information | Remote Desktop Services: Session reconnection succeeded: User: DESKTOP-DS9NSON\theod Session ID: 1 Source Network Address: LOCAL

Known code meanings:
- 0x80072746 / 10054: An existing connection was forcibly closed by the remote host
- Error 64: The specified network name is no longer available
